league_id,model,interval,predicted_mid,actual_percent,error,matches
9,poisson_over,50-55,52.5,57.49,4.99,821
9,poisson_over,55-60,57.5,63.4,5.9,683
9,poisson_over,60-65,62.5,61.65,-0.85,532
9,poisson_over,65-70,67.5,69.92,2.42,379
9,poisson_over,70-75,72.5,78.06,5.56,237
9,poisson_over,75-80,77.5,85.98,8.48,107
9,poisson_over,80-85,82.5,91.18,8.68,34
9,poisson_over,85-90,87.5,100.0,12.5,5
9,poisson_btts,50-55,52.5,57.79,5.29,995
9,poisson_btts,55-60,57.5,68.56,11.06,706
9,poisson_btts,60-65,62.5,69.66,7.16,435
9,poisson_btts,65-70,67.5,68.53,1.03,232
9,poisson_btts,70-75,72.5,75.82,3.32,91
9,poisson_btts,75-80,77.5,87.5,10.0,24
9,poisson_btts,80-85,82.5,80.0,-2.5,5
9,historical_over,50-55,52.5,52.83,0.33,1024
9,historical_over,55-60,57.5,59.54,2.04,571
9,historical_over,60-65,62.5,65.35,2.85,254
9,historical_over,65-70,67.5,66.04,-1.46,106
9,historical_over,70-75,72.5,81.58,9.08,38
9,historical_over,75-80,77.5,80.0,2.5,15
10,poisson_over,50-55,52.5,52.13,-0.37,752
10,poisson_over,55-60,57.5,57.85,0.35,522
10,poisson_over,60-65,62.5,73.14,10.64,350
10,poisson_over,65-70,67.5,72.22,4.72,180
10,poisson_over,70-75,72.5,78.12,5.62,96
10,poisson_over,75-80,77.5,80.0,2.5,30
10,poisson_over,80-85,82.5,83.33,0.83,6
10,poisson_btts,50-55,52.5,61.08,8.58,961
10,poisson_btts,55-60,57.5,63.18,5.68,584
10,poisson_btts,60-65,62.5,73.09,10.59,301
10,poisson_btts,65-70,67.5,79.59,12.09,147
10,poisson_btts,70-75,72.5,74.07,1.57,54
10,poisson_btts,75-80,77.5,88.89,11.39,9
10,historical_over,50-55,52.5,50.51,-1.99,493
10,historical_over,55-60,57.5,50.93,-6.57,216
10,historical_over,60-65,62.5,72.92,10.42,48
